"hour.of.day";"icdf"
0;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
1;lambda y: -(204*y**2)/(y - 1) - (2191*y**(5.307))/(y - 1.007)
2;lambda y: (-2.567 - 1240*y**405 - 2092*y**4.299)/(y**((y**2)**(y**(1.009**(1153 - 2102**y)))) - 1.005)
3;lambda y: (2057*y**3 + 852.2*y**969.2 + 4311*y**4*math.log(y) - 1.3*(4311*y**3)**y*math.log(y))/(1.004 - y)
4;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
5;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
6;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
7;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
8;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
9;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
10;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
11;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
12;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
13;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
14;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
15;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
16;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
17;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
18;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
19;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
20;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
21;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
22;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
23;lambda y: y**(11.56*y**4)*math.exp(11.54*y) + math.exp(13.14**(y**6*(y**9)**(y**131.4)))
