"seed","res.util","block.prob","max.tunnels","max.instances","startstop.duration"
"1",1192722770,3090.23403931,0,10000,1,20
"2",461027504,3012.02136481,0,10000,1,20
"3",1020231754,3008.8313839,0,10000,1,20
"4",1543757328,3030.05444548,0,10000,1,20
"5",1392765670,3036.23438898,0,10000,1,20
"6",1687847778,3034.77624592,0,10000,1,20
"7",2000377588,3010.21631129,0,10000,1,20
"8",769458329,3035.5230669,0,10000,1,20
"9",2029806316,3074.88898893,0,10000,1,20
"10",1110609850,3008.71527032,0,10000,1,20
"11",1192722770,3855.55500089,0,10000,1,20
"12",461027504,3802.32417611,0,10000,1,20
"13",1020231754,3831.7162197,0,10000,1,20
"14",1543757328,3826.55006503,0,10000,1,20
"15",1392765670,3817.01537327,0,10000,1,20
"16",1687847778,3833.30448439,0,10000,1,20
"17",2000377588,3827.29599449,0,10000,1,20
"18",769458329,3779.90462449,0,10000,1,20
"19",2029806316,3843.74254804,0,10000,1,20
"20",1110609850,3818.36735747,0,10000,1,20
"21",1192722770,992.948205985,0.758690194294684,1000,1,20
"22",461027504,993.590435138,0.760699952195133,1000,1,20
"23",1020231754,993.508557688,0.751366681554265,1000,1,20
"24",1543757328,993.26347998,0.756701489219827,1000,1,20
"25",1392765670,992.931787951,0.756314309317099,1000,1,20
"26",1687847778,993.204287125,0.758315714508268,1000,1,20
"27",2000377588,992.488742747,0.764356312329303,1000,1,20
"28",769458329,992.317537366,0.757433441085321,1000,1,20
"29",2029806316,992.666419133,0.758001025343825,1000,1,20
"30",1110609850,993.448213476,0.759924158198334,1000,1,20
"31",1192722770,99.9685082347,0.975994093873509,100,1,20
"32",461027504,99.9658673311,0.977259488182849,100,1,20
"33",1020231754,99.9557054846,0.975664357472212,100,1,20
"34",1543757328,99.9378820641,0.976580468079238,100,1,20
"35",1392765670,99.9260703805,0.976220785059042,100,1,20
"36",1687847778,99.9563825377,0.977959802772483,100,1,20
"37",2000377588,99.9495089895,0.977698829444856,100,1,20
"38",769458329,99.9551349369,0.97760154205025,100,1,20
"39",2029806316,99.9707914719,0.976697185970182,100,1,20
"40",1110609850,99.9580672452,0.977139265951591,100,1,20
"41",1192722770,3090.23403931,0,10100,1,20
"42",461027504,3012.02136481,0,10100,1,20
"43",1020231754,3008.8313839,0,10100,1,20
"44",1543757328,3030.05444548,0,10100,1,20
"45",1392765670,3036.23438898,0,10100,1,20
"46",1687847778,3034.77624592,0,10100,1,20
"47",2000377588,3010.21631129,0,10100,1,20
"48",769458329,3035.5230669,0,10100,1,20
"49",2029806316,3074.88898893,0,10100,1,20
"50",1110609850,3008.71527032,0,10100,1,20
"51",1192722770,3855.55500089,0,10100,1,20
"52",461027504,3802.32417611,0,10100,1,20
"53",1020231754,3831.7162197,0,10100,1,20
"54",1543757328,3826.55006503,0,10100,1,20
"55",1392765670,3817.01537327,0,10100,1,20
"56",1687847778,3833.30448439,0,10100,1,20
"57",2000377588,3827.29599449,0,10100,1,20
"58",769458329,3779.90462449,0,10100,1,20
"59",2029806316,3843.74254804,0,10100,1,20
"60",1110609850,3818.36735747,0,10100,1,20
"61",1192722770,3090.23403931,0,10200,1,20
"62",461027504,3012.02136481,0,10200,1,20
"63",1020231754,3008.8313839,0,10200,1,20
"64",1543757328,3030.05444548,0,10200,1,20
"65",1392765670,3036.23438898,0,10200,1,20
"66",1687847778,3034.77624592,0,10200,1,20
"67",2000377588,3010.21631129,0,10200,1,20
"68",769458329,3035.5230669,0,10200,1,20
"69",2029806316,3074.88898893,0,10200,1,20
"70",1110609850,3008.71527032,0,10200,1,20
"71",1192722770,3855.55500089,0,10200,1,20
"72",461027504,3802.32417611,0,10200,1,20
"73",1020231754,3831.7162197,0,10200,1,20
"74",1543757328,3826.55006503,0,10200,1,20
"75",1392765670,3817.01537327,0,10200,1,20
"76",1687847778,3833.30448439,0,10200,1,20
"77",2000377588,3827.29599449,0,10200,1,20
"78",769458329,3779.90462449,0,10200,1,20
"79",2029806316,3843.74254804,0,10200,1,20
"80",1110609850,3818.36735747,0,10200,1,20
"81",1192722770,3090.23403931,0,10300,1,20
"82",461027504,3012.02136481,0,10300,1,20
"83",1020231754,3008.8313839,0,10300,1,20
"84",1543757328,3030.05444548,0,10300,1,20
"85",1392765670,3036.23438898,0,10300,1,20
"86",1687847778,3034.77624592,0,10300,1,20
"87",2000377588,3010.21631129,0,10300,1,20
"88",769458329,3035.5230669,0,10300,1,20
"89",2029806316,3074.88898893,0,10300,1,20
"90",1110609850,3008.71527032,0,10300,1,20
"91",1192722770,3855.55500089,0,10300,1,20
"92",461027504,3802.32417611,0,10300,1,20
"93",1020231754,3831.7162197,0,10300,1,20
"94",1543757328,3826.55006503,0,10300,1,20
"95",1392765670,3817.01537327,0,10300,1,20
"96",1687847778,3833.30448439,0,10300,1,20
"97",2000377588,3827.29599449,0,10300,1,20
"98",769458329,3779.90462449,0,10300,1,20
"99",2029806316,3843.74254804,0,10300,1,20
"100",1110609850,3818.36735747,0,10300,1,20
"101",1192722770,3090.23403931,0,10400,1,20
"102",461027504,3012.02136481,0,10400,1,20
"103",1020231754,3008.8313839,0,10400,1,20
"104",1543757328,3030.05444548,0,10400,1,20
"105",1392765670,3036.23438898,0,10400,1,20
"106",1687847778,3034.77624592,0,10400,1,20
"107",2000377588,3010.21631129,0,10400,1,20
"108",769458329,3035.5230669,0,10400,1,20
"109",2029806316,3074.88898893,0,10400,1,20
"110",1110609850,3008.71527032,0,10400,1,20
"111",1192722770,3855.55500089,0,10400,1,20
"112",461027504,3802.32417611,0,10400,1,20
"113",1020231754,3831.7162197,0,10400,1,20
"114",1543757328,3826.55006503,0,10400,1,20
"115",1392765670,3817.01537327,0,10400,1,20
"116",1687847778,3833.30448439,0,10400,1,20
"117",2000377588,3827.29599449,0,10400,1,20
"118",769458329,3779.90462449,0,10400,1,20
"119",2029806316,3843.74254804,0,10400,1,20
"120",1110609850,3818.36735747,0,10400,1,20
"121",1192722770,3090.23403931,0,10500,1,20
"122",461027504,3012.02136481,0,10500,1,20
"123",1020231754,3008.8313839,0,10500,1,20
"124",1543757328,3030.05444548,0,10500,1,20
"125",1392765670,3036.23438898,0,10500,1,20
"126",1687847778,3034.77624592,0,10500,1,20
"127",2000377588,3010.21631129,0,10500,1,20
"128",769458329,3035.5230669,0,10500,1,20
"129",2029806316,3074.88898893,0,10500,1,20
"130",1110609850,3008.71527032,0,10500,1,20
"131",1192722770,3855.55500089,0,10500,1,20
"132",461027504,3802.32417611,0,10500,1,20
"133",1020231754,3831.7162197,0,10500,1,20
"134",1543757328,3826.55006503,0,10500,1,20
"135",1392765670,3817.01537327,0,10500,1,20
"136",1687847778,3833.30448439,0,10500,1,20
"137",2000377588,3827.29599449,0,10500,1,20
"138",769458329,3779.90462449,0,10500,1,20
"139",2029806316,3843.74254804,0,10500,1,20
"140",1110609850,3818.36735747,0,10500,1,20
"141",1192722770,3090.23403931,0,10600,1,20
"142",461027504,3012.02136481,0,10600,1,20
"143",1020231754,3008.8313839,0,10600,1,20
"144",1543757328,3030.05444548,0,10600,1,20
"145",1392765670,3036.23438898,0,10600,1,20
"146",1687847778,3034.77624592,0,10600,1,20
"147",2000377588,3010.21631129,0,10600,1,20
"148",769458329,3035.5230669,0,10600,1,20
"149",2029806316,3074.88898893,0,10600,1,20
"150",1110609850,3008.71527032,0,10600,1,20
"151",1192722770,3855.55500089,0,10600,1,20
"152",461027504,3802.32417611,0,10600,1,20
"153",1020231754,3831.7162197,0,10600,1,20
"154",1543757328,3826.55006503,0,10600,1,20
"155",1392765670,3817.01537327,0,10600,1,20
"156",1687847778,3833.30448439,0,10600,1,20
"157",2000377588,3827.29599449,0,10600,1,20
"158",769458329,3779.90462449,0,10600,1,20
"159",2029806316,3843.74254804,0,10600,1,20
"160",1110609850,3818.36735747,0,10600,1,20
"161",1192722770,3090.23403931,0,10700,1,20
"162",461027504,3012.02136481,0,10700,1,20
"163",1020231754,3008.8313839,0,10700,1,20
"164",1543757328,3030.05444548,0,10700,1,20
"165",1392765670,3036.23438898,0,10700,1,20
"166",1687847778,3034.77624592,0,10700,1,20
"167",2000377588,3010.21631129,0,10700,1,20
"168",769458329,3035.5230669,0,10700,1,20
"169",2029806316,3074.88898893,0,10700,1,20
"170",1110609850,3008.71527032,0,10700,1,20
"171",1192722770,3855.55500089,0,10700,1,20
"172",461027504,3802.32417611,0,10700,1,20
"173",1020231754,3831.7162197,0,10700,1,20
"174",1543757328,3826.55006503,0,10700,1,20
"175",1392765670,3817.01537327,0,10700,1,20
"176",1687847778,3833.30448439,0,10700,1,20
"177",2000377588,3827.29599449,0,10700,1,20
"178",769458329,3779.90462449,0,10700,1,20
"179",2029806316,3843.74254804,0,10700,1,20
"180",1110609850,3818.36735747,0,10700,1,20
"181",1192722770,3090.23403931,0,10800,1,20
"182",461027504,3012.02136481,0,10800,1,20
"183",1020231754,3008.8313839,0,10800,1,20
"184",1543757328,3030.05444548,0,10800,1,20
"185",1392765670,3036.23438898,0,10800,1,20
"186",1687847778,3034.77624592,0,10800,1,20
"187",2000377588,3010.21631129,0,10800,1,20
"188",769458329,3035.5230669,0,10800,1,20
"189",2029806316,3074.88898893,0,10800,1,20
"190",1110609850,3008.71527032,0,10800,1,20
"191",1192722770,3855.55500089,0,10800,1,20
"192",461027504,3802.32417611,0,10800,1,20
"193",1020231754,3831.7162197,0,10800,1,20
"194",1543757328,3826.55006503,0,10800,1,20
"195",1392765670,3817.01537327,0,10800,1,20
"196",1687847778,3833.30448439,0,10800,1,20
"197",2000377588,3827.29599449,0,10800,1,20
"198",769458329,3779.90462449,0,10800,1,20
"199",2029806316,3843.74254804,0,10800,1,20
"200",1110609850,3818.36735747,0,10800,1,20
"201",1192722770,3090.23403931,0,10900,1,20
"202",461027504,3012.02136481,0,10900,1,20
"203",1020231754,3008.8313839,0,10900,1,20
"204",1543757328,3030.05444548,0,10900,1,20
"205",1392765670,3036.23438898,0,10900,1,20
"206",1687847778,3034.77624592,0,10900,1,20
"207",2000377588,3010.21631129,0,10900,1,20
"208",769458329,3035.5230669,0,10900,1,20
"209",2029806316,3074.88898893,0,10900,1,20
"210",1110609850,3008.71527032,0,10900,1,20
"211",1192722770,3855.55500089,0,10900,1,20
"212",461027504,3802.32417611,0,10900,1,20
"213",1020231754,3831.7162197,0,10900,1,20
"214",1543757328,3826.55006503,0,10900,1,20
"215",1392765670,3817.01537327,0,10900,1,20
"216",1687847778,3833.30448439,0,10900,1,20
"217",2000377588,3827.29599449,0,10900,1,20
"218",769458329,3779.90462449,0,10900,1,20
"219",2029806316,3843.74254804,0,10900,1,20
"220",1110609850,3818.36735747,0,10900,1,20
"221",1192722770,3090.23403931,0,11000,1,20
"222",461027504,3012.02136481,0,11000,1,20
"223",1020231754,3008.8313839,0,11000,1,20
"224",1543757328,3030.05444548,0,11000,1,20
"225",1392765670,3036.23438898,0,11000,1,20
"226",1687847778,3034.77624592,0,11000,1,20
"227",2000377588,3010.21631129,0,11000,1,20
"228",769458329,3035.5230669,0,11000,1,20
"229",2029806316,3074.88898893,0,11000,1,20
"230",1110609850,3008.71527032,0,11000,1,20
"231",1192722770,3855.55500089,0,11000,1,20
"232",461027504,3802.32417611,0,11000,1,20
"233",1020231754,3831.7162197,0,11000,1,20
"234",1543757328,3826.55006503,0,11000,1,20
"235",1392765670,3817.01537327,0,11000,1,20
"236",1687847778,3833.30448439,0,11000,1,20
"237",2000377588,3827.29599449,0,11000,1,20
"238",769458329,3779.90462449,0,11000,1,20
"239",2029806316,3843.74254804,0,11000,1,20
"240",1110609850,3818.36735747,0,11000,1,20
"241",1192722770,1090.11369277,0.736500362339038,1100,1,20
"242",461027504,1090.76530461,0.734245356467579,1100,1,20
"243",1020231754,1090.55448878,0.736320349699477,1100,1,20
"244",1543757328,1090.39952998,0.733581484238714,1100,1,20
"245",1392765670,1089.78358021,0.733186156800869,1100,1,20
"246",1687847778,1090.42168382,0.736361817090254,1100,1,20
"247",2000377588,1089.07910627,0.73671829577173,1100,1,20
"248",769458329,1088.98689438,0.727045495014245,1100,1,20
"249",2029806316,1089.90084527,0.735536471500997,1100,1,20
"250",1110609850,1090.60259224,0.738516853532102,1100,1,20
"251",1192722770,3090.23403931,0,11100,1,20
"252",461027504,3012.02136481,0,11100,1,20
"253",1020231754,3008.8313839,0,11100,1,20
"254",1543757328,3030.05444548,0,11100,1,20
"255",1392765670,3036.23438898,0,11100,1,20
"256",1687847778,3034.77624592,0,11100,1,20
"257",2000377588,3010.21631129,0,11100,1,20
"258",769458329,3035.5230669,0,11100,1,20
"259",2029806316,3074.88898893,0,11100,1,20
"260",1110609850,3008.71527032,0,11100,1,20
"261",1192722770,3855.55500089,0,11100,1,20
"262",461027504,3802.32417611,0,11100,1,20
"263",1020231754,3831.7162197,0,11100,1,20
"264",1543757328,3826.55006503,0,11100,1,20
"265",1392765670,3817.01537327,0,11100,1,20
"266",1687847778,3833.30448439,0,11100,1,20
"267",2000377588,3827.29599449,0,11100,1,20
"268",769458329,3779.90462449,0,11100,1,20
"269",2029806316,3843.74254804,0,11100,1,20
"270",1110609850,3818.36735747,0,11100,1,20
"271",1192722770,3090.23403931,0,11200,1,20
"272",461027504,3012.02136481,0,11200,1,20
"273",1020231754,3008.8313839,0,11200,1,20
"274",1543757328,3030.05444548,0,11200,1,20
"275",1392765670,3036.23438898,0,11200,1,20
"276",1687847778,3034.77624592,0,11200,1,20
"277",2000377588,3010.21631129,0,11200,1,20
"278",769458329,3035.5230669,0,11200,1,20
"279",2029806316,3074.88898893,0,11200,1,20
"280",1110609850,3008.71527032,0,11200,1,20
"281",1192722770,3855.55500089,0,11200,1,20
"282",461027504,3802.32417611,0,11200,1,20
"283",1020231754,3831.7162197,0,11200,1,20
"284",1543757328,3826.55006503,0,11200,1,20
"285",1392765670,3817.01537327,0,11200,1,20
"286",1687847778,3833.30448439,0,11200,1,20
"287",2000377588,3827.29599449,0,11200,1,20
"288",769458329,3779.90462449,0,11200,1,20
"289",2029806316,3843.74254804,0,11200,1,20
"290",1110609850,3818.36735747,0,11200,1,20
